#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
1694,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2101,Инжењерски менаџмент,Дипломирани инжењер менаџмента,Техничко-технолошке науке,Основне академске,180000,3000,240,612-00-00647/2013-04,05/07/2013,180,,0,0,0,,,,13,14,36,,,,0,1,0,,,18,0,0,0,63,1,64,8,4,0,,13,15,36,,,TT,Приватни факултет,36
1695,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2102,Информатика и рачунарство,Дипломирани информатичар,Природно-математичке науке,Основне академске,180000,3000,240,612-00-00647/2013-04,27/09/2013,80,0,0,0,0,,,75,74,80,66,,,5,6,0,0,,,81,114,5,0,295,11,306,8,4,119,80,80,80,66,,,PM,Приватни факултет,66
1696,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2103,Пословна економија са 4 модула,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,180000,3000,240,612-00-02454/2014-04,20/03/2015,390,0,,,,,,231,,,,,,16,,,,,,166,338,43,0,231,16,247,8,4,381,247,,,,,,DH,Приватни факултет,
1703,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2110,Пословна економија,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,180000,3000,240,612-00-00647/2013-04,05/07/2013,400,,0,0,0,,,,244,296,237,,,,2,0,0,,,106,0,0,0,777,2,779,8,4,0,,246,296,237,,,DH,Приватни факултет,237
1711,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2118,Маркетинг и трговина,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,180000,0,240,612-00-901/2009-04,21/04/2010,0,,,,0,,,,,,108,,,,,,0,,,17,0,0,0,108,0,108,8,4,0,,,,108,,,DH,Приватни факултет,108
1712,255,Универзитет Сингидунум,Ректорат универзитет Сингидунум,Државни факултет,2119,Информационе технологије,Дипломирани инжењер информационих технологија,"Интердисциплинарне, мултидисциплинарне, трансдисциплинарне (ИМТ) и двопредметне студије",Основне академске,180000,3000,240,612-00-002263/201404,26/12/2014,180,0,,,,,,92,,,,,,0,,,,,,0,170,15,0,92,0,92,8,4,185,92,,,,,,IMT,Приватни факултет,
1713,197,Универзитет Едуконс,Факултет за спорт и туризам (ТИМС) - Нови Сад,Државни факултет,2124,Менаџмент и бизнис у туризму на српском и енглеском језику,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,159900,1300,240,612-00-00566/2014-044,23/01/2015,,,,,,,,,,,,,,,,,,,,1,,,0,0,0,0,8,4,,,,,,,,DH,Приватни факултет,
1714,197,Универзитет Едуконс,Факултет за спорт и туризам (ТИМС) - Нови Сад,Државни факултет,2125,Спортска психологија,Дипломирани психолог,Друштвено-хуманистичке науке,Основне академске,159900,1400,240,612-00-00565/2014-04,22/05/2015,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,8,4,,,,,,,,DH,Приватни факултет,
1720,198,Универзитет Едуконс,Факултет за европске правно-политичке студије (ФЕППС),Државни факултет,2140,Правне науке,Дипломирани правник,Друштвено-хуманистичке науке,Основне академске,182336,1480,240,612-00-00028/2014-04,10/10/2014,,,,,,,,18,14,36,47,,,,,,,,,0,,,0,115,0,115,8,4,,,,,,,,DH,Приватни факултет,
1723,198,Универзитет Едуконс,Факултет за европске правно-политичке студије (ФЕППС),Државни факултет,2146,Политичке науке,Дипломирани политиколог,Друштвено-хуманистичке науке,Основне академске,179080,1480,180,612-00-00029/2014-04,10/10/2014,,,,,,,,,,,,,,,,,,,,12,,,0,0,0,0,6,3,,,,,,,,DH,Приватни факултет,
1724,186,Универзитет Мегатренд,Факултет за културу и медије - Београд,Државни факултет,2147,ОАС4-МЕНАЏМЕНТ У КУЛТУРИ И МЕДИЈИМА,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,180000,3000,240,612-00-00052/2014-04,20/02/2015,,,,,,,,68,19,30,74,,,0,0,0,0,,,85,,,0,191,0,191,8,4,,,,,,,,DH,Приватни факултет,
1725,186,Универзитет Мегатренд,Факултет за културу и медије - Београд,Државни факултет,2148,ОАС4-НОВИНАРСТВО,Дипломирани новинар/журналиста,Друштвено-хуманистичке науке,Основне академске,180000,3000,240,612-00-00053/2014-04,20/09/2016,,,,,,,,59,25,14,93,,,0,0,0,0,,,53,,,0,191,0,191,8,4,,,,,,,,DH,Приватни факултет,
1726,186,Универзитет Мегатренд,Факултет за културу и медије - Београд,Државни факултет,2149,ОАС4-ОДНОСИ С ЈАВНОШЋУ,Дипломирани менаџер,Друштвено-хуманистичке науке,Основне академске,180000,3000,240,612-00-00054/2014-04,20/02/2015,,,,,,,,94,48,35,78,,,0,0,0,0,,,140,,,0,255,0,255,8,4,,,,,,,,DH,Приватни факултет,
1727,187,Универзитет Мегатренд,Факултет за међународну економију - Београд,Државни факултет,2150,Међународна економија и финансије,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,185000,3000,240,612-00-02632/2013-04,20/03/2015,,,,,,,,54,34,39,70,,,0,0,0,0,,,52,,,0,197,0,197,8,4,,,,,,,,DH,Приватни факултет,
1729,187,Универзитет Мегатренд,Факултет за међународну економију - Београд,Државни факултет,2153,Међународна пословна економија,Дипломирани економиста,Друштвено-хуманистичке науке,Основне академске,124000,2000,240,612-00-00393/2015-06,08/05/2015,,,,,,,,60,27,,,,,,,,,,,0,,,0,87,0,87,8,4,,,,,,,,DH,Приватни факултет,
1732,182,Универзитет Мегатренд,Факултет за уметност и дизајн - Београд,Државни факултет,2156,Основне академске студије,Дипломирани дизајнер,Уметност,Основне академске,309000,2500,240,612-00-00514/2014-04,08/07/2016,,,,,,,,21,20,20,20,,,,,,,,,30,,,0,81,0,81,8,4,,,,,,,,UM,Приватни факултет,
1737,252,Универзитет Сингидунум,"Факултет за економију, финансије и администрацију (ФЕФА)",Државни факултет,2162,Економија,Економиста,Друштвено-хуманистичке науке,Основне академске,364298,2900,180,612-00633/2013-04,28/03/2014,,,,,,,,,,,,,,,,,,,,41,,,0,0,0,0,6,3,,,,,,,,DH,Приватни факултет,
1738,252,Универзитет Сингидунум,"Факултет за економију, финансије и администрацију (ФЕФА)",Државни факултет,2163,Менаџмент,Менаџер,Друштвено-хуманистичке науке,Основне академске,364.3,2900,180,612-00633/2013-04,28/03/2014,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,6,3,,,,,,,,DH,Приватни факултет,
